date,flow
6/21/23,6.30483
6/22/23,6.29077
6/23/23,6.28072
6/24/23,6.74237
6/25/23,9.22689
6/26/23,12.0965
6/27/23,12.4149
6/28/23,11.5556
6/29/23,11.3316
6/30/23,12.1942
7/1/23,13.1595
7/2/23,13.3411
7/3/23,12.4502
7/4/23,11.6148
7/5/23,11.2657
7/6/23,12.44
7/7/23,16.2515
7/8/23,18.9765
7/9/23,18.9973
7/10/23,18.6977
7/11/23,19.2046
7/12/23,18.6574
7/13/23,16.8867
7/14/23,15.1409
7/15/23,13.3046
7/16/23,11.5059
7/17/23,10.3695
7/18/23,9.77376
7/19/23,9.46421
7/20/23,9.40721
7/21/23,9.3667
7/22/23,9.74232
7/23/23,11.4407
7/24/23,14.4313
7/25/23,24.8772
7/26/23,32.1356
7/27/23,30.5587
7/28/23,43.4221
7/29/23,43.3823
7/30/23,58.2587
7/31/23,58.8548
8/1/23,49.6752
8/2/23,42.797
8/3/23,39.4874
8/4/23,37.9054
8/5/23,37.2083
8/6/23,35.8955
8/7/23,34.0662
8/8/23,30.5968
8/9/23,26.4444
8/10/23,22.825
8/11/23,19.8491
8/12/23,17.4476
8/13/23,15.3447
8/14/23,15.7002
8/15/23,22.3004
8/16/23,27.5217
8/17/23,28.0322
8/18/23,27.4884
8/19/23,26.1293
8/20/23,25.5643
8/21/23,23.9022
8/22/23,22.5156
8/23/23,31.4936
8/24/23,95.9006
8/25/23,80.0291
8/26/23,61.7257
8/27/23,53.565
8/28/23,46.9791
8/29/23,42.1277
8/30/23,36.5631
8/31/23,31.7856
9/1/23,27.7858
9/2/23,24.1258
9/3/23,21.3883
9/4/23,19.2532
9/5/23,17.3701
9/6/23,15.182
9/7/23,13.8931
9/8/23,13.4112
9/9/23,12.6594
9/10/23,11.7205
9/11/23,10.4384
9/12/23,8.9039
9/13/23,7.63703
9/14/23,6.95008
9/15/23,6.79946
9/16/23,6.88656
9/17/23,7.62451
9/18/23,8.7887
9/19/23,9.98824
9/20/23,10.1642
9/21/23,8.89774
9/22/23,7.72737
9/23/23,7.04506
9/24/23,6.65076
9/25/23,6.49337
9/26/23,6.44795
9/27/23,6.41728
9/28/23,6.39395
9/29/23,6.39153
9/30/23,6.38963
10/1/23,6.37585
10/2/23,6.39679
10/3/23,6.38082
10/4/23,6.4075
10/5/23,6.40942
10/6/23,8.3988
10/7/23,1110.11
10/8/23,1076.04
10/9/23,507.093
10/10/23,291.92
10/11/23,210.418
10/12/23,166.21
10/13/23,136.966
10/14/23,116.989
10/15/23,129.369
10/16/23,131.476
10/17/23,112.856
